Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Kenyan Drake,MIA,RB,16,0,0,0,877.8,6.6,46.2,334.4,1.1,0,0,0,0,ESPN
Tyreek Hill,KC,WR,16,0,0,0,134.2,0,91.3,1182.5,5.5,0,0,0,0,ESPN
Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Joe Mixon,CIN,RB,16,0,0,0,848.1,6.6,40.7,367.4,1.1,0,0,0,0,ESPN
Derrick Henry,TEN,RB,16,0,0,0,953.7,6.6,20.9,214.5,1.1,0,0,0,0,ESPN
Robbie Gould,SF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Allen Robinson,CHI,WR,16,0,0,0,0,0,78.1,1142.9,7.7,0,0,0,0,ESPN
Jay Ajayi,PHI,RB,16,0,0,0,1097.8,5.5,25.3,194.7,1.1,0,0,0,0,ESPN
Doug Baldwin,SEA,WR,16,0,0,0,23.1,0,92.4,1178.1,6.6,0,0,0,0,ESPN
Stefon Diggs,MIN,WR,16,0,0,0,51.7,0,90.2,1148.4,6.6,0,0,0,0,ESPN
Greg Zuerlein,LAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Alshon Jeffery,PHI,WR,16,0,0,0,0,0,71.5,1060.4,8.8,0,0,0,0,ESPN
Alex Collins,BAL,RB,16,0,0,0,992.2,6.6,28.6,221.1,1.1,0,0,0,0,ESPN
Josh Gordon,CLE,WR,16,0,0,0,12.1,0,75.9,1192.4,6.6,0,0,0,0,ESPN
Tevin Coleman,ATL,RB,16,0,0,0,729.3,5.5,36.3,385,2.2,0,0,0,0,ESPN
Demaryius Thomas,DEN,WR,16,0,0,0,0,0,100.1,1168.2,6.6,0,0,0,0,ESPN
Chris Boswell,PIT,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Marvin Jones,DET,WR,16,0,0,0,0,0,63.8,1024.1,7.7,0,0,0,0,ESPN
Jake Elliott,PHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Juju Smith-Schuster,PIT,WR,16,0,0,0,0,0,82.5,1085.7,6.6,0,0,0,0,ESPN
Matt Bryant,ATL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Amari Cooper,OAK,WR,16,0,0,0,13.2,0,83.6,1104.4,5.5,0,0,0,0,ESPN
Travis Kelce,KC,TE,16,0,0,0,7.7,0,89.1,1105.5,5.5,0,0,0,0,ESPN
Lamar Miller,HOU,RB,16,0,0,0,851.4,3.3,36.3,303.6,2.2,0,0,0,0,ESPN
Wil Lutz,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Sony Michel,NE,RB,16,0,0,0,716.1,6.6,33,279.4,1.1,0,0,0,0,ESPN
Zach Ertz,PHI,TE,16,0,0,0,0,0,89.1,972.4,7.7,0,0,0,0,ESPN
Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,113.3,1146.2,5.5,0,0,0,0,ESPN
Jacksonville Jaguars,JAX,DST,16,0,0,0,0,0,0,0,0,56.1,18.7,16.5,16.5,ESPN
Mark Ingram,NO,RB,16,0,0,0,777.7,5.5,39.6,281.6,1.1,0,0,0,0,ESPN
Dion Lewis,TEN,RB,16,0,0,0,756.8,4.4,38.5,273.9,2.2,0,0,0,0,ESPN
Royce Freeman,DEN,RB,16,0,0,0,838.2,4.4,31.9,253,1.1,0,0,0,0,ESPN
Kai Forbath,MIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
Emmanuel Sanders,DEN,WR,16,0,0,0,0,0,80.3,1042.8,5.5,0,0,0,0,ESPN
Chris Hogan,NE,WR,16,0,0,0,26.4,0,62.7,947.1,6.6,0,0,0,0,ESPN
